b_value,frequency,imaginary_part
0.010000,15002999700.059984,1500299970.005999
0.020000,7505997601.918082,750599760.191808
0.030000,5008991914.547278,500899191.454728
0.040000,3761980861.195336,376198086.119534
0.050000,3014962686.336267,301496268.633627
0.060000,2517935662.402834,251793566.240283
0.070000,2163755239.091029,216375523.909103
0.080000,1898848335.175824,189884833.517582
0.090000,1693451439.450738,169345143.945074
0.100000,1529705854.077835,152970585.407784
0.110000,1396246443.945841,139624644.394584
0.120000,1285496013.218244,128549601.321824
0.130000,1192208432.592876,119220843.259288
0.140000,1112636141.635472,111263614.163547
0.150000,1044030650.891055,104403065.089106
0.160000,984330356.130502,98433035.613050
0.170000,931958535.989004,93195853.598900
0.180000,885688683.705761,88568868.370576
0.190000,844552365.493663,84455236.549366
0.200000,807774721.070176,80777472.107018
0.210000,774728392.168928,77472839.216893
0.220000,744900015.477145,74490001.547715
0.230000,717865455.955670,71786545.595567
0.240000,693271231.193102,69327123.119310
0.250000,670820393.249937,67082039.324994
0.260000,650261667.858709,65026166.785871
0.270000,631381006.452239,63138100.645224
0.280000,613994947.795474,61399494.779547
0.290000,597945352.411797,59794535.241180
0.300000,583095189.484530,58309518.948453
0.310000,569325138.583847,56932513.858385
0.320000,556530827.987093,55653082.798709
0.330000,544620574.572733,54462057.457273
0.340000,533513522.041093,53351352.204109
0.350000,523138097.817159,52313809.781716
0.360000,513430726.691645,51343072.669165
0.370000,504334752.651372,50433475.265137
0.380000,495799530.571818,49579953.057182
0.390000,487779657.307313,48777965.730731
0.400000,480234317.807464,48023431.780746
0.410000,473126726.643723,47312672.664372
0.420000,466423649.066129,46642364.906613
0.430000,460094988.664118,46009498.866412
0.440000,454113431.054910,45411343.105491
0.450000,448454134.902457,44845413.490246
0.460000,443094463.081644,44309446.308164
0.470000,438013748.024624,43801374.802462
0.480000,433193086.279086,43319308.627909
0.490000,428615158.118869,42861515.811887
0.500000,424264068.711928,42426406.871193
0.510000,420125207.898096,42012520.789810
0.520000,416185126.081648,41618512.608165
0.530000,412431424.119552,41243142.411955
0.540000,408852655.399424,40885265.539942
0.550000,405438238.563232,40543823.856323
0.560000,402178379.552646,40217837.955265
0.570000,399064001.837208,39906400.183721
0.580000,396086683.842965,39608668.384297
0.590000,393238602.731904,39323860.273190
0.600000,390512483.795333,39051248.379533
0.610000,387901554.820544,38790155.482054
0.620000,385399504.872385,38539950.487238
0.630000,383000447.001864,38300044.700186
0.640000,380698884.454630,38069888.445463
0.650000,378489680.004386,37848968.000439
0.660000,376368028.081535,37636802.808154
0.670000,374329429.406451,37432942.940645
0.680000,372369667.870750,37236966.787075
0.690000,370484789.439525,37048478.943952
0.700000,368671082.873255,36867108.287326
0.710000,366925062.090667,36692506.209067
0.720000,365243450.013519,36524345.001352
0.730000,363623163.751621,36362316.375162
0.740000,362061301.001612,36206130.100161
0.750000,360555127.546399,36055512.754640
0.760000,359102065.754026,35910206.575403
0.770000,357699683.985169,35769968.398517
0.780000,356345686.827707,35634568.682771
0.790000,355037906.085041,35503790.608504
0.800000,353774292.452123,35377429.245212
0.810000,352552907.819623,35255290.781962
0.820000,351371918.152477,35137191.815248
0.830000,350229586.894186,35022958.689419
0.840000,349124268.852855,34912426.885286
0.850000,348054404.529106,34805440.452911
0.860000,347018514.849653,34701851.484965
0.870000,346015196.273688,34601519.627369
0.880000,345043116.242182,34504311.624218
0.890000,344101008.942884,34410100.894288
0.900000,343187671.366233,34318767.136623
0.910000,342301959.629559,34230195.962956
0.920000,341442785.548915,34144278.554892
0.930000,340609113.439686,34060911.343969
0.940000,339799957.128668,33979995.712867
0.950000,339014377.161851,33901437.716185
0.960000,338251478.193370,33825147.819337
0.970000,337510406.542364,33751040.654236
0.980000,336790347.905512,33679034.790551
0.990000,336090525.214055,33609052.521405
