focus,real_coord,max_field
0.1,0.105,0.04434141230618182
0.10500000000000001,0.125,0.04442136451933261
0.11,0.125,0.04673439908107315
0.115,0.125,0.04811055843134317
0.12000000000000001,0.125,0.04807930541925081
0.125,0.125,0.04704252679381068
0.13,0.125,0.04621976555559395
0.135,0.14,0.0457665601841287
0.14,0.15,0.04544881119113785
0.14500000000000002,0.15,0.04510343103477028
0.15000000000000002,0.15,0.04511889198562678
0.155,0.155,0.044275565707786985
0.16,0.165,0.044321325204447384
0.165,0.17,0.04413550422124429
0.17,0.17,0.04387599685812686
0.175,0.17,0.0433915061984228
0.18,0.17,0.042718913226644506
0.185,0.19,0.04154050384367287
0.19,0.19,0.041503274364586194
0.195,0.19,0.041215704735170056
0.2,0.19,0.04073143464167053
